metric,value
cycles,520
tasks,40
simulated_time_ns,520
throughput_tasks_per_cycle,0.0769230769231
compute_busy_cycles,40
compute_utilization,0.0384615384615
compute_result_wait_cycles,859
output_period,13
parser_to_transform_capacity,1
parser_to_transform_average,0.753846153846
parser_to_transform_peak,1
compute0_results_capacity,1
compute0_results_average,0.901923076923
compute0_results_peak,1
compute1_results_capacity,1
compute1_results_average,0.926923076923
compute1_results_peak,1
collector_to_output_capacity,1
collector_to_output_average,0.913461538462
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.70576923077
transform_registers_peak,2
handshake_valid_cycles,450
handshake_blocked_cycles,410
handshake_blocked_fraction,0.911111111111
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,4
buffer_payload_bits,672
dispatch_idle_other_blocked_cycles,0
reorder_wait_cycles,0
collector_output_blocked_cycles,462
compute0_busy_cycles,20
compute0_utilization,0.0384615384615
compute0_tasks,20
compute0_result_wait_cycles,423
compute1_busy_cycles,20
compute1_utilization,0.0384615384615
compute1_tasks,20
compute1_result_wait_cycles,436
task_latency_count,40
task_latency_precompute_sum_cycles,1279
task_latency_precompute_mean_cycles,31.975
task_latency_precompute_max_cycles,38
task_latency_precompute_p95_cycles,38
task_latency_compute_sum_cycles,40
task_latency_compute_mean_cycles,1
task_latency_compute_max_cycles,1
task_latency_compute_p95_cycles,1
task_latency_result_wait_sum_cycles,859
task_latency_result_wait_mean_cycles,21.475
task_latency_result_wait_max_cycles,24
task_latency_result_wait_p95_cycles,24
task_latency_delivery_sum_cycles,1426
task_latency_delivery_mean_cycles,35.65
task_latency_delivery_max_cycles,37
task_latency_delivery_p95_cycles,37
task_latency_end_to_end_sum_cycles,3604
task_latency_end_to_end_mean_cycles,90.1
task_latency_end_to_end_max_cycles,100
task_latency_end_to_end_p95_cycles,100
compute0_idle_no_input_cycles,57
compute1_idle_no_input_cycles,44
